key_name,Streams,Z_Streams,Outlier_Streams
F#,11011715,-0.32481100856831935,Normal
F#,12587938,-0.3196930607886534,Normal
F#,17447073,-0.30391559834561876,Normal
F#,23298250,-1.13966802371376,Normal
F#,25205504,-0.5574484212715896,Normal
F#,26047417,-0.27599054492413977,Normal
F#,30872831,-0.5206451470695367,Normal
F#,53922442,-0.3709623858871214,Normal
F#,92394065,-0.12113002395229681,Normal
F#,337160096,0.734182790139485,Normal
F#,571854552,2.992456993721256,Normal
G,,-3.2450913876008167,Normal
G,2556243,-0.3522656670452151,Normal
G,2814521,-0.35142704629381344,Normal
G,4678990,-0.6907463451701535,Normal
G,4804986,-0.3449640674340627,Normal
G,20533121,-0.29389529505760514,Normal
G,24533890,-0.28090492071304435,Normal
G,27108217,-0.27254615983099645,Normal
G,36094525,-0.24336789312888968,Normal
G,39367967,-0.9309565090613001,Normal
G,77105973,-0.22040995643231973,Normal
G,108327206,-0.017661182799673936,Normal
G#,,-2.1633942584005443,Normal
G#,4922648,-0.6891640450513279,Normal
G#,6010540,-0.3410496705387202,Normal
G#,6840483,-1.3534194842010396,Normal
G#,12900357,-0.31867864586933325,Normal
G#,28725502,-0.5345897699912456,Normal
G#,30784088,-0.5212214386727057,Normal
G#,903882386,2.5743126992911294,Normal
